Designator,Mid X,Mid Y,Rotation,Layer
C1,35.85,-35.1,270.0,top
C10,59.8,-55.4,0.0,top
C11,62.0,-81.0,270.0,top
C12,54.8,-76.2,90.0,top
C13,57.25,-22.1,90.0,top
C2,35.85,-52.0,270.0,top
C3,35.85,-68.9,270.0,top
C4,57.25,-35.376041,270.0,top
C5,45.6,-72.0,90.0,top
C6,48.2,-68.2,180.0,top
C7,52.0,-62.5375,90.0,top
C8,53.0,-66.0,180.0,top
C9,62.8,-56.3375,90.0,top
D1,33.4,-81.6,90.0,top
D10,27.0125,-83.8,0.0,top
D2,35.0,-81.6,90.0,top
D3,36.6,-81.6,90.0,top
D4,38.2,-81.6,90.0,top
D5,65.615,-81.6525,90.0,top
D6,64.0,-81.6375,90.0,top
D7,27.0125,-79.0,0.0,top
D8,27.0125,-80.6,0.0,top
D9,27.0125,-82.2,0.0,top
IC1,57.345,-80.8,180.0,top
J1,28.975,-33.1,90.0,top
J2,28.975,-50.0,90.0,top
J3,28.975,-66.9,90.0,top
J4,69.825,-33.1,270.0,top
J5,69.825,-66.9,270.0,top
J6,57.61,-70.0,90.0,top
J7,47.1,-75.35,0.0,bottom
J8,60.7,-75.35,0.0,bottom
J9,58.05,-47.8,180.0,top
Q1,40.3,-30.465,270.0,top
Q2,40.3,-47.365,270.0,top
Q3,40.3,-64.265,270.0,top
R1,37.6,-37.8,180.0,top
R10,48.4,-79.4,90.0,top
R11,33.4,-78.2,270.0,top
R12,35.0,-78.2,270.0,top
R13,36.6,-78.2,270.0,top
R14,38.2,-78.2,270.0,top
R15,65.6,-78.2,270.0,top
R16,64.0,-78.2,270.0,top
R17,30.4125,-79.0,180.0,top
R18,30.4125,-80.61,180.0,top
R19,30.4125,-82.2,180.0,top
R2,37.6,-39.39,0.0,top
R20,30.4125,-83.8,180.0,top
R3,37.6,-54.7,180.0,top
R4,37.6,-56.29,0.0,top
R5,37.6,-71.6,180.0,top
R6,37.6,-73.19,0.0,top
R7,52.6,-55.6,180.0,top
R8,52.6,-57.2,0.0,top
R9,64.4,-56.3375,270.0,top
SW1,55.35,-53.0,270.0,top
SW2,51.4,-80.2,270.0,top
U1,38.75,-35.1,0.0,top
U2,38.75,-52.0,0.0,top
U3,38.75,-68.9,0.0,top
U4,48.2,-71.4,270.0,top
U5,58.2,-61.4,180.0,top
